geo_id,total_visit_time,day_feature,hour_feature
0,179,weekday,5
1,31,weekday,3
2,1,weekday,3
3,19,weekend,5
4,2,weekend,5
5,148,weekday,5
7,6,weekend,5
8,16,weekday,5
9,21,weekday,5
10,199,weekday,3
11,32,weekday,6
12,114,weekday,5
13,42,weekday,5
14,166,weekday,5
15,7,weekday,3
16,49,weekday,5
17,44,weekday,6
18,101,weekday,5
19,24,weekday,5
20,424,weekday,5
21,7,weekend,6
22,5,weekday,5
23,20,weekday,5
24,12,weekday,5
25,7,weekday,4
26,31,weekend,3
27,17,weekend,5
28,25,weekday,5
29,31,weekday,5
30,5,weekend,5
31,50,weekday,3
32,1,weekday,1
33,14,weekday,5
34,168,weekday,5
35,87,weekday,3
36,39,weekday,5
37,252,weekend,5
38,8,weekend,5
39,110,weekday,5
40,5,weekday,1
41,16,weekend,3
42,70,weekday,6
43,198,weekend,5
44,35,weekend,5
45,17,weekday,5
46,127,weekday,5
47,64,weekday,5
48,55,weekday,6
49,40,weekday,5
50,66,weekday,5
51,28,weekday,5
52,101,weekday,5
53,70,weekday,5
54,22,weekday,5
55,47,weekend,3
56,36,weekday,5
57,302,weekday,5
58,18,weekend,5
59,1,weekday,4
60,34,weekday,5
61,9,weekday,2
62,1,weekday,0
63,66,weekday,5
64,29,weekend,6
65,18,weekday,2
66,28,weekday,1
67,5,weekend,5
68,25,weekend,5
69,24,weekend,5
70,24,weekday,6
71,39,weekday,5
72,54,weekend,3
73,10,weekday,5
74,10,weekend,5
75,6,weekday,3
76,78,weekday,5
77,10,weekend,6
78,36,weekday,3
79,13,weekday,5
80,8,weekend,5
81,8,weekday,3
82,10,weekday,4
83,3,weekday,2
85,10,weekend,5
86,25,weekend,5
87,103,weekday,5
88,398,weekday,5
89,106,weekday,5
90,19,weekday,5
91,18,weekday,5
92,85,weekday,5
93,17,weekday,5
94,94,weekend,5
95,33,weekday,5
96,28,weekday,5
97,44,weekday,5
98,75,weekday,5
99,19,weekday,5
100,38,weekday,5
101,52,weekday,5
102,10,weekend,3
103,12,weekend,3
104,124,weekday,3
105,60,weekday,5
106,6,weekend,5
107,8,weekday,5
108,108,weekday,5
109,17,weekday,5
110,9,weekday,5
111,18,weekday,5
112,34,weekday,6
113,17,weekday,3
114,82,weekday,5
115,4,weekend,3
116,31,weekday,3
117,23,weekday,5
118,77,weekend,5
119,6,weekend,5
120,131,weekday,5
121,123,weekday,5
122,114,weekend,3
123,33,weekday,5
124,69,weekday,5
125,18,weekday,5
126,28,weekday,5
127,74,weekday,5
128,24,weekday,5
129,8,weekday,3
130,1,weekend,5
131,3,weekday,5
132,42,weekday,5
133,106,weekend,3
134,5,weekday,5
135,110,weekday,5
136,52,weekday,5
137,343,weekday,5
138,7,weekday,5
139,11,weekday,5
140,52,weekday,5
141,4,weekday,4
142,33,weekday,1
143,41,weekday,3
144,8,weekday,5
145,75,weekday,5
146,123,weekend,5
147,15,weekday,5
148,29,weekday,5
149,43,weekday,5
150,306,weekday,5
151,21,weekday,5
152,82,weekday,5
153,11,weekday,5
154,74,weekday,5
155,10,weekday,5
156,5,weekend,3
157,11,weekday,3
158,37,weekday,5
159,1,weekday,1
160,17,weekday,5
161,31,weekend,5
162,26,weekday,5
163,40,weekend,6
164,5,weekday,5
165,153,weekday,5
166,21,weekend,5
167,113,weekday,5
168,15,weekday,3
169,44,weekday,5
170,10,weekday,5
171,34,weekend,5
172,7,weekday,4
173,24,weekday,0
174,174,weekend,6
175,2,weekday,4
176,19,weekday,5
177,27,weekday,5
178,10,weekend,5
179,34,weekend,5
180,22,weekend,5
181,24,weekday,3
182,84,weekday,5
183,4,weekend,5
184,9,weekday,5
185,22,weekday,5
186,9,weekday,5
187,60,weekend,5
188,124,weekday,5
189,31,weekday,5
190,94,weekday,3
191,74,weekday,5
192,75,weekday,3
193,14,weekend,5
194,6,weekend,5
195,8,weekday,5
196,22,weekday,5
197,10,weekend,3
198,8,weekend,5
199,6,weekday,5
200,110,weekday,5
201,19,weekday,5
202,8,weekday,3
203,14,weekday,6
204,12,weekday,5
205,18,weekday,5
206,110,weekday,3
207,16,weekday,3
208,11,weekday,5
209,71,weekday,5
210,67,weekday,5
211,25,weekday,3
212,40,weekday,3
213,15,weekend,5
214,8,weekday,3
215,1088,weekday,5
216,11,weekend,5
217,55,weekday,5
218,47,weekday,5
219,103,weekend,5
220,20,weekday,5
221,64,weekend,5
222,76,weekend,2
223,100,weekday,5
224,117,weekday,6
225,14,weekday,5
226,14,weekend,4
227,26,weekday,5
228,15,weekday,5
229,195,weekday,3
230,1,weekend,5
231,127,weekday,5
232,12,weekend,5
233,22,weekday,6
234,13,weekend,5
235,62,weekend,3
236,16,weekday,1
237,46,weekday,5
238,43,weekend,3
239,29,weekend,5
240,19,weekend,5
241,20,weekend,3
242,124,weekday,3
243,46,weekday,5
244,5,weekend,3
245,18,weekday,5
246,3,weekday,3
247,8,weekend,5
248,1,weekday,4
249,77,weekday,5
250,28,weekday,5
251,1,weekday,5
252,37,weekday,5
253,6,weekend,5
254,1,weekday,0
255,16,weekday,5
256,169,weekend,5
257,83,weekday,3
258,31,weekday,5
259,44,weekday,3
260,71,weekday,5
261,2,weekend,3
262,99,weekend,5
263,13,weekday,3
264,21,weekday,6
265,71,weekday,3
266,22,weekday,5
267,1,weekend,3
268,37,weekday,5
269,58,weekday,5
270,27,weekday,5
271,62,weekday,5
272,108,weekday,5
273,1,weekend,2
274,161,weekday,5
275,15,weekday,5
276,6,weekday,5
277,5,weekday,5
278,3,weekday,5
279,69,weekday,5
280,39,weekend,5
281,99,weekend,3
282,35,weekday,5
283,91,weekend,5
284,55,weekday,5
285,63,weekday,5
286,97,weekday,5
287,1,weekend,6
288,22,weekday,5
289,15,weekday,5
290,3,weekday,1
291,5,weekend,6
292,71,weekend,5
293,21,weekday,2
294,95,weekday,5
295,64,weekday,5
296,22,weekday,5
297,3,weekday,5
298,25,weekday,5
299,1,weekday,4
300,86,weekend,5
301,8,weekday,5
302,102,weekend,6
303,58,weekend,5
304,3,weekday,3
305,25,weekday,5
306,96,weekend,3
307,4,weekday,2
308,23,weekday,3
309,10,weekend,3
310,1,weekday,5
311,24,weekend,6
312,14,weekday,3
313,42,weekday,5
314,4,weekend,3
315,32,weekday,3
316,28,weekday,5
317,33,weekday,5
318,80,weekday,5
319,15,weekday,4
320,46,weekday,5
321,313,weekday,5
322,6,weekday,5
323,7,weekday,5
324,58,weekend,5
325,20,weekend,5
326,143,weekday,5
327,4,weekday,2
328,14,weekday,4
329,6,weekday,3
330,49,weekday,5
331,47,weekday,5
332,27,weekday,5
333,5,weekday,0
334,30,weekday,5
335,28,weekday,5
336,45,weekday,5
337,12,weekday,5
338,4,weekend,5
339,39,weekday,5
340,26,weekday,5
341,72,weekday,5
342,24,weekend,5
343,29,weekday,5
344,201,weekday,5
345,48,weekday,5
346,47,weekday,5
347,76,weekend,5
348,11,weekend,4
349,2,weekend,0
350,47,weekend,3
351,14,weekday,4
352,9,weekend,5
353,1,weekend,6
354,42,weekday,3
355,101,weekend,5
356,69,weekday,3
357,55,weekday,5
358,12,weekday,5
359,25,weekend,6
360,15,weekday,5
361,17,weekday,2
362,89,weekend,6
363,30,weekday,5
364,18,weekend,3
365,197,weekday,5
366,7,weekday,5
367,39,weekday,5
368,4,weekday,5
369,29,weekday,5
370,9,weekday,4
371,29,weekend,4
372,42,weekend,5
373,28,weekend,5
374,33,weekday,3
375,3,weekday,5
376,75,weekday,1
377,20,weekday,5
378,4,weekday,3
379,34,weekend,5
380,35,weekend,5
381,27,weekend,5
382,403,weekday,5
383,60,weekday,5
384,25,weekday,5
385,23,weekday,5
386,54,weekday,5
387,16,weekday,3
388,29,weekday,5
389,118,weekday,6
390,37,weekday,5
391,84,weekday,3
392,231,weekend,3
393,33,weekday,3
394,23,weekday,5
395,8,weekend,3
396,2,weekend,5
397,85,weekday,3
398,31,weekday,5
399,62,weekday,3
400,4,weekday,4
401,24,weekday,5
402,13,weekday,5
403,70,weekday,6
404,186,weekday,5
405,16,weekend,5
406,17,weekday,3
407,26,weekday,5
408,1,weekend,1
409,38,weekday,5
410,181,weekday,3
411,14,weekday,5
412,30,weekend,5
413,13,weekday,5
414,34,weekday,5
415,40,weekday,5
416,28,weekday,5
417,3,weekend,6
418,35,weekday,5
419,20,weekend,6
420,11,weekend,2
421,13,weekday,3
422,64,weekday,5
423,71,weekend,5
424,43,weekday,5
425,1,weekday,6
426,89,weekend,5
427,45,weekday,5
428,2,weekday,5
429,51,weekend,5
430,12,weekday,3
431,152,weekday,5
432,103,weekday,5
433,32,weekday,2
434,81,weekday,5
435,74,weekday,5
436,43,weekend,1
437,6,weekday,5
438,29,weekend,5
439,29,weekday,5
440,139,weekday,5
441,56,weekday,5
442,28,weekday,5
443,17,weekday,5
444,42,weekday,5
445,2,weekday,0
446,19,weekend,3
447,26,weekday,5
448,16,weekday,5
449,6,weekday,2
450,43,weekend,5
451,32,weekday,3
452,39,weekday,5
453,31,weekday,5
454,67,weekday,5
455,4,weekday,0
456,22,weekend,2
457,35,weekday,5
458,87,weekday,5
459,24,weekday,5
460,155,weekday,6
461,40,weekday,3
462,28,weekend,5
463,55,weekend,5
464,3,weekday,4
465,36,weekday,5
466,11,weekend,5
467,6,weekend,5
468,13,weekday,5
469,96,weekday,4
470,61,weekend,6
471,54,weekday,5
472,16,weekend,5
473,8,weekend,5
474,31,weekday,5
475,365,weekday,3
476,49,weekday,5
477,102,weekday,5
478,21,weekday,3
479,73,weekday,5
480,7,weekend,5
481,11,weekday,5
482,5,weekday,2
483,16,weekday,5
484,33,weekday,5
485,9,weekend,0
486,73,weekday,5
487,23,weekday,3
488,16,weekday,5
489,8,weekend,2
490,32,weekday,4
491,48,weekday,5
492,139,weekday,5
493,43,weekday,3
494,50,weekday,5
495,1,weekday,5
496,27,weekday,6
497,7,weekday,5
498,13,weekday,5
499,4,weekend,4
500,17,weekday,5
501,14,weekend,3
502,8,weekend,4
503,33,weekday,5
504,72,weekday,5
505,24,weekend,3
506,6,weekday,5
507,24,weekday,5
508,30,weekend,5
509,1,weekday,3
510,24,weekend,5
511,9,weekday,3
512,22,weekday,5
513,39,weekday,5
514,11,weekend,5
515,131,weekday,5
516,26,weekday,5
517,12,weekend,3
518,29,weekday,5
519,12,weekend,3
520,52,weekend,5
521,20,weekday,5
522,29,weekday,5
523,102,weekday,3
524,7,weekend,5
525,8,weekday,5
526,93,weekday,5
527,53,weekday,5
528,32,weekday,3
529,2,weekday,6
530,48,weekday,5
531,33,weekday,5
532,25,weekday,5
533,109,weekday,5
534,17,weekday,5
535,20,weekday,5
536,73,weekday,5
537,20,weekday,5
538,60,weekend,5
539,41,weekday,5
540,12,weekday,5
541,51,weekday,5
542,23,weekday,5
543,18,weekday,5
544,28,weekday,5
545,8,weekend,3
546,46,weekday,5
547,6,weekday,3
548,16,weekend,5
549,9,weekend,3
550,18,weekday,3
551,72,weekday,5
552,19,weekday,3
553,23,weekday,5
554,40,weekday,5
555,39,weekday,3
556,44,weekday,5
557,101,weekday,5
558,35,weekend,5
559,54,weekday,3
560,1,weekday,4
561,43,weekend,5
562,16,weekday,5
563,7,weekend,5
564,9,weekday,5
565,1,weekday,5
566,30,weekday,5
567,24,weekday,5
568,141,weekday,5
569,15,weekday,5
570,32,weekday,3
571,6,weekend,5
572,65,weekday,1
573,3,weekday,5
574,14,weekday,0
575,23,weekend,5
576,6,weekend,5
577,1,weekend,5
578,87,weekday,5
579,1,weekday,2
580,31,weekday,4
581,20,weekend,5
582,26,weekend,5
583,1,weekend,5
584,21,weekend,3
585,116,weekday,5
586,9,weekend,5
587,13,weekend,5
588,34,weekend,6
589,38,weekday,5
590,59,weekday,5
591,53,weekday,5
592,74,weekday,5
593,6,weekend,2
594,11,weekday,3
595,30,weekday,3
596,1,weekday,5
597,47,weekday,5
598,2,weekday,1
599,9,weekday,5
600,8,weekend,5
601,12,weekday,4
602,141,weekday,5
603,52,weekday,5
604,67,weekday,5
605,32,weekday,5
606,23,weekday,5
607,90,weekday,0
608,56,weekday,5
609,27,weekend,5
610,17,weekday,3
611,49,weekday,5
612,44,weekday,5
613,20,weekday,3
614,5,weekday,3
615,63,weekday,5
616,40,weekday,5
617,3,weekday,3
618,4,weekday,2
619,30,weekday,3
620,1,weekday,3
621,130,weekday,5
622,196,weekend,3
623,6,weekday,5
624,42,weekday,5
625,12,weekday,5
626,86,weekday,0
627,32,weekday,5
628,43,weekend,3
629,19,weekday,5
630,17,weekday,5
631,76,weekend,3
632,6,weekend,3
633,4,weekend,5
634,11,weekday,3
635,5,weekend,5
636,30,weekday,5
637,8,weekday,3
638,1,weekday,3
639,7,weekday,3
640,53,weekend,5
641,19,weekend,5
642,31,weekday,3
643,5,weekend,5
644,7,weekday,5
645,154,weekday,5
646,9,weekday,5
647,105,weekday,5
648,45,weekday,5
649,52,weekday,5
650,20,weekday,3
651,10,weekday,5
652,4,weekday,5
653,7,weekend,5
654,42,weekend,5
655,38,weekday,6
656,48,weekday,3
657,16,weekday,5
658,130,weekday,5
659,7,weekend,2
660,1,weekend,3
661,74,weekday,6
662,25,weekend,2
663,81,weekday,5
664,8,weekday,4
665,3,weekend,5
666,43,weekday,3
667,34,weekday,5
668,1,weekday,6
669,29,weekday,4
670,2,weekend,3
671,1,weekday,3
672,9,weekday,3
673,75,weekday,6
