geo_id,total_visit_time,day_feature,hour_feature
0,26,weekday,3
2,50,weekday,3
3,10,weekday,3
4,20,weekend,3
5,1,weekday,3
6,652,weekday,5
7,3,weekday,1
8,1,weekend,3
9,124,weekday,5
10,53,weekday,5
11,3,weekend,3
12,3,weekday,0
13,16,weekday,5
14,18,weekday,5
15,11,weekday,5
16,3,weekday,3
17,462,weekday,5
18,25,weekday,0
19,6,weekend,0
20,63,weekday,5
21,4,weekend,5
22,2,weekday,3
23,32,weekday,3
24,9,weekday,5
25,49,weekday,5
26,15,weekday,4
28,87,weekday,5
29,36,weekend,5
30,61,weekday,5
31,1,weekday,1
32,108,weekday,5
33,69,weekday,5
34,71,weekday,5
35,73,weekday,4
36,29,weekday,5
37,52,weekday,4
38,41,weekday,5
39,1,weekday,3
40,5,weekday,5
41,80,weekday,5
42,122,weekday,5
43,63,weekend,5
44,68,weekday,5
45,48,weekday,5
46,106,weekday,4
47,146,weekday,3
48,127,weekday,5
49,155,weekday,5
50,126,weekday,5
51,143,weekday,5
52,148,weekday,5
53,224,weekday,3
54,53,weekend,5
55,12,weekday,5
57,12,weekday,5
58,8,weekday,5
59,127,weekday,5
60,71,weekday,3
61,66,weekday,5
62,237,weekday,5
63,153,weekday,5
64,5,weekday,1
65,6,weekday,4
66,1,weekday,6
68,2,weekend,5
69,6,weekend,5
70,4,weekend,5
72,1,weekend,6
73,40,weekday,5
74,22,weekday,5
75,1,weekend,1
76,2,weekend,4
77,6,weekend,3
78,44,weekday,5
79,141,weekend,5
80,156,weekday,5
81,182,weekday,5
82,2,weekday,4
83,13,weekday,5
84,139,weekday,5
85,34,weekday,5
86,182,weekday,3
87,39,weekday,3
88,11,weekday,5
89,8,weekday,3
90,11,weekday,5
91,129,weekday,5
92,21,weekday,5
93,140,weekday,5
94,64,weekday,5
95,40,weekday,5
96,28,weekday,5
97,1365,weekday,6
98,1,weekend,4
99,1,weekend,4
100,54,weekday,5
101,5,weekend,4
102,16,weekend,5
103,27,weekday,5
104,12,weekend,6
105,1,weekend,4
106,4,weekday,5
107,36,weekday,5
108,123,weekday,6
109,34,weekend,5
110,8,weekday,5
111,39,weekend,6
112,1,weekend,4
113,1,weekend,3
114,3,weekday,5
115,32,weekday,5
116,7,weekend,2
117,3,weekday,0
118,23,weekend,2
119,2,weekend,4
120,9,weekend,3
121,1,weekday,4
122,36,weekday,5
123,18,weekday,5
124,58,weekday,5
125,8,weekday,5
126,1,weekday,5
127,101,weekend,6
128,7,weekend,5
129,355,weekday,6
130,8,weekday,5
131,1,weekday,5
132,2,weekday,4
133,34,weekday,5
134,9,weekday,5
135,3,weekday,5
136,17,weekday,5
137,8,weekend,5
138,7,weekend,5
139,7,weekend,5
140,3,weekday,5
141,54,weekend,4
143,30,weekday,5
144,5,weekday,5
145,94,weekday,5
146,5,weekday,3
147,25,weekday,3
148,11,weekday,3
149,6,weekday,1
150,1,weekend,6
151,2,weekend,3
152,2,weekend,1
153,8,weekday,3
154,17,weekday,3
155,226,weekday,5
156,612,weekday,5
157,1,weekday,0
158,5,weekday,4
159,1,weekday,4
160,92,weekend,3
161,240,weekday,5
162,466,weekday,3
163,5,weekday,4
164,53,weekday,3
165,119,weekday,5
166,1,weekday,5
167,20,weekday,3
168,165,weekday,5
169,13,weekday,3
170,102,weekday,0
171,1,weekday,5
172,1110,weekday,5
173,43,weekend,4
174,89,weekday,3
175,9,weekend,2
176,18,weekday,5
177,3,weekday,3
178,5,weekend,0
179,18,weekday,1
180,4,weekday,2
181,13,weekday,3
182,14,weekday,5
183,5,weekday,3
184,56,weekend,3
185,19,weekday,3
186,1,weekend,3
187,1,weekday,2
188,26,weekend,3
189,10,weekend,4
190,9,weekday,3
191,11,weekday,3
192,9,weekday,3
193,1,weekend,3
194,96,weekend,4
195,82,weekend,4
196,27,weekday,4
197,3,weekday,2
198,165,weekday,5
199,4,weekday,3
200,2,weekend,5
201,3,weekend,1
202,3,weekday,2
203,1,weekday,3
204,2,weekend,1
205,261,weekday,5
206,213,weekend,3
207,12,weekday,2
208,1,weekday,5
209,2,weekend,0
210,8,weekday,4
211,11,weekday,6
212,3,weekday,5
213,41,weekday,5
214,2,weekend,3
216,57,weekday,5
217,327,weekday,5
218,73,weekday,5
219,412,weekend,3
220,1,weekday,5
221,2,weekday,4
222,2,weekend,4
223,18,weekend,4
224,12,weekday,4
225,5,weekend,3
226,10,weekday,5
227,42,weekend,4
228,11,weekday,3
229,1,weekend,1
230,24,weekday,3
231,527,weekday,5
232,2,weekend,5
233,78,weekend,5
234,7,weekday,5
235,11,weekday,3
236,5,weekday,5
237,2,weekend,3
238,192,weekday,3
239,79,weekday,4
240,135,weekday,5
241,8,weekend,3
242,7,weekend,2
243,5,weekend,3
244,3,weekday,1
245,14,weekday,3
246,74,weekday,3
247,212,weekday,3
248,17,weekday,3
249,85,weekday,3
250,64,weekday,3
251,8,weekday,3
