geo_id,category,category_nearby
0,Coffee Shop,"Subway,Fast Food Restaurant,Japanese Restaurant"
1,Hotel,"Road,Convenience Store,Train Station"
2,Hotel,Café
3,Hotel,"French Restaurant,Steakhouse,Gift Shop"
4,Hotel,"Subway,American Restaurant,Japanese Restaurant"
5,Hotel,Diner
6,Hotel,"Ramen /  Noodle House,Japanese Restaurant,Bar"
7,Hotel,Hotel
8,Hotel,"Park,Bar,Drugstore / Pharmacy"
9,Hotel,"Hotel,Mall"
10,Hotel,"Bar,Restaurant,Other Great Outdoors"
11,Hotel,"French Restaurant,Medical Center,Breakfast Spot"
12,Hotel,"Bar,Japanese Restaurant,Electronics Store"
13,Hotel,"German Restaurant,Hotel"
14,Hotel, 
15,Hotel,"Restaurant,Seafood Restaurant,Japanese Restaurant"
16,Hotel,"Music Store,Donut Shop,Restaurant"
17,Hotel,"Ramen /  Noodle House,Café,BBQ Joint"
18,Hotel,"Hotel,Building,Furniture / Home Store"
19,Hotel,"Bar,Performing Arts Venue,Fast Food Restaurant"
20,Hotel,"Airport,Diner,Ice Cream Shop"
21,Hotel,"Italian Restaurant,Ramen /  Noodle House,Chinese Restaurant"
22,Hotel,"Park,Korean Restaurant,Restaurant"
23,Hotel,Café
24,Hotel, 
25,Hotel,Hotel
26,Hotel,Office
27,Hotel,"Hotel,Eastern European Restaurant,Video Store"
28,Hotel,Sushi Restaurant
29,Hotel, 
30,Hotel,Asian Restaurant
31,Hotel,Asian Restaurant
32,Hotel, 
33,Hotel,"Japanese Restaurant,Office,Coffee Shop"
34,Hotel,"Restaurant,Chinese Restaurant"
35,Hotel,"Bank,Medical Center,Food & Drink Shop"
36,Hotel,"Tea Room,Café,Japanese Restaurant"
37,Hotel,"Sushi Restaurant,Steakhouse,French Restaurant"
38,Ethiopian Restaurant,"Chinese Restaurant,Fast Food Restaurant,Convenience Store"
39,Beer Garden,"Japanese Restaurant,Diner"
40,American Restaurant,"Bar,American Restaurant,Miscellaneous Shop"
41,Bar,"Bar,Ramen /  Noodle House,Japanese Restaurant"
42,Bar,"Bank,Government Building,Café"
43,Bar,"Bar,Mexican Restaurant,Café"
44,Bar,"Event Space,Bar,Café"
45,Café,"Japanese Restaurant,Hotel,Steakhouse"
46,Bar,"Bar,Japanese Restaurant,Department Store"
