geo_id,total_visit_time,day_feature,hour_feature
0,7,weekday,4
1,21,weekday,3
2,9,weekday,3
3,32,weekday,3
4,8,weekend,3
5,11,weekday,3
6,2,weekend,1
7,33,weekday,1
8,27,weekday,3
9,26,weekday,4
10,56,weekday,3
11,38,weekday,3
12,1,weekday,5
13,5,weekend,4
14,28,weekday,1
15,4,weekend,6
16,2,weekend,5
17,2,weekday,0
18,11,weekday,4
19,4,weekday,5
20,7,weekday,5
21,5,weekend,3
22,18,weekend,3
23,15,weekday,0
24,6,weekend,3
25,1,weekend,3
26,1,weekend,3
27,14,weekday,3
28,1,weekend,3
29,6,weekend,1
30,5,weekday,2
31,1,weekend,4
32,1,weekend,5
33,8,weekday,1
34,12,weekend,3
35,30,weekend,3
36,25,weekday,5
37,17,weekday,3
38,2,weekend,5
39,6,weekday,5
40,3,weekday,5
41,1,weekday,5
42,1,weekend,5
43,1,weekday,5
44,4,weekend,5
45,3,weekend,4
46,13,weekday,5
47,3,weekend,3
48,1,weekend,3
49,1,weekend,1
50,3,weekday,3
51,1,weekday,5
52,2,weekend,5
53,1,weekend,3
54,1,weekend,5
55,4,weekend,5
56,6,weekend,5
57,3,weekend,1
58,1,weekday,2
59,3,weekend,6
60,1,weekend,4
61,1,weekend,3
62,29,weekday,5
63,2,weekday,2
64,1,weekday,5
65,2,weekday,3
66,1,weekday,5
67,1,weekday,5
68,5,weekday,4
69,60,weekday,5
70,19,weekday,3
71,32,weekend,6
72,2,weekday,3
73,2,weekday,2
74,2,weekend,5
75,4,weekend,5
76,19,weekday,5
77,1,weekday,5
78,1,weekday,3
79,8,weekend,3
80,3,weekday,5
81,21,weekend,5
82,2,weekend,2
83,4,weekend,4
84,2,weekend,5
85,18,weekend,3
86,1,weekend,4
87,1,weekend,4
88,1,weekend,4
89,2,weekend,6
90,4,weekend,3
91,2,weekend,4
92,12,weekend,4
93,2,weekday,6
94,9,weekday,4
95,2,weekend,4
96,34,weekday,4
97,3,weekday,5
98,3,weekday,4
99,1,weekend,5
100,2,weekday,4
101,6,weekend,3
102,1,weekend,4
103,2,weekday,3
104,16,weekend,6
105,8,weekday,5
106,1,weekday,5
107,3,weekday,3
108,30,weekday,5
109,5,weekday,3
110,3,weekday,5
111,2,weekend,2
112,23,weekend,3
