geo_id,category,category_nearby
0,Jazz Club, 
1,Gym,"Office,Coffee Shop,Clothing Store"
2,Bowling Alley,"Deli / Bodega,Office,Mexican Restaurant"
3,Sports Bar,"Office,Bar,Hotel"
4,Nightclub,"Subway,Bike Shop,Ice Cream Shop"
5,Music Venue,"Italian Restaurant,Bar,American Restaurant"
6,Dive Bar,"Bar,Italian Restaurant,Coffee Shop"
7,French Restaurant,"Italian Restaurant,Office,Coffee Shop"
8,Hotel Bar,"Office,Coffee Shop,American Restaurant"
9,Bar,"Bar,Pizza Place,Chinese Restaurant"
10,Theater,"Bar,Italian Restaurant,Cocktail Bar"
11,Cuban Restaurant,"Clothing Store,Italian Restaurant,Bar"
12,Breakfast Spot,"Office,Bar,American Restaurant"
13,Bar,"Bar,Mexican Restaurant,Pizza Place"
14,Gay Bar,"Bar,Mexican Restaurant,Italian Restaurant"
15,Bar,"Office,Italian Restaurant,American Restaurant"
16,Pub,"Office,Bar,American Restaurant"
17,Music Venue,"Office,Bar,Tech Startup"
18,Strip Club,"Event Space,Housing Development,Art Gallery"
19,Cocktail Bar,"Coffee Shop,Grocery Store,Gym"
20,French Restaurant,"Office,Clothing Store,Bar"
21,Bar,"Bar,Indian Restaurant,Coffee Shop"
22,Italian Restaurant,"College Residence Hall,American Restaurant,College Academic Building"
23,French Restaurant,"Italian Restaurant,American Restaurant,Coffee Shop"
24,French Restaurant,"Bar,Pizza Place,Japanese Restaurant"
25,Cocktail Bar,"Clothing Store,Office,Bar"
26,American Restaurant,"Italian Restaurant,Coffee Shop,Office"
27,Karaoke Bar,"Office,Italian Restaurant,Bar"
28,Thrift / Vintage Store,"Bar,American Restaurant,Music Venue"
29,Portuguese Restaurant,"Italian Restaurant,Office,Bar"
30,Dessert Shop,"Office,Coffee Shop,Italian Restaurant"
31,Café,"Office,Tech Startup,Bar"
32,Bar,"Residential Building (Apartment / Condo),Coffee Shop,Drugstore / Pharmacy"
33,Beer Garden,"Coffee Shop,Home (private),Italian Restaurant"
34,Italian Restaurant,"Bar,American Restaurant,Coffee Shop"
35,Bar,"Clothing Store,Office,Italian Restaurant"
36,American Restaurant,"Office,Coffee Shop,American Restaurant"
37,Indian Restaurant,"Grocery Store,Asian Restaurant,Coffee Shop"
38,Bar,"Bar,Italian Restaurant,Pizza Place"
39,Bar,"Italian Restaurant,Bar,American Restaurant"
40,Sports Bar,"Italian Restaurant,Bar,American Restaurant"
41,French Restaurant,"Office,Bar,Hotel"
