geo_id,category,category_nearby
0,Office,"Office,Event Space,Japanese Restaurant"
1,Temple,"Chinese Restaurant,Office,Café"
2,Hotel,"Chinese Restaurant,Residential Building (Apartment / Condo),Asian Restaurant"
3,Temple,"Chinese Restaurant,Office,Bar"
4,Mall,"Nightclub,Bar,Chinese Restaurant"
5,Hotel,"Chinese Restaurant,Café,Asian Restaurant"
6,Hotel,"Resort,Food Court,Asian Restaurant"
7,Hotel,"Japanese Restaurant,Café,Chinese Restaurant"
8,Hotel,"Hotel,Café,Home (private)"
9,Hotel,"Chinese Restaurant,Asian Restaurant,Café"
10,Hotel,"Japanese Restaurant,Café,Boutique"
11,Hotel,"Chinese Restaurant,Café,Asian Restaurant"
12,Hostel,"Café,Home (private),Nightclub"
13,Hotel,"Café,Chinese Restaurant,Japanese Restaurant"
14,Hotel,"Hotel,Embassy / Consulate,Dim Sum Restaurant"
15,Hotel,"Home (private),Bus Station,Chinese Restaurant"
16,Hotel,"Café,Nightclub,Chinese Restaurant"
17,Hotel,"Office,Café,Coffee Shop"
18,Hotel,"Café,Hotel,Japanese Restaurant"
19,Hotel,"Bar,Japanese Restaurant,Nightclub"
20,Hotel,"Chinese Restaurant,Café,Asian Restaurant"
21,Hotel,"Nightclub,Japanese Restaurant,Bar"
22,Hotel,"Café,Nightclub,Chinese Restaurant"
23,Hotel,"Nightclub,Bar,Chinese Restaurant"
24,Hotel,"Chinese Restaurant,Indian Restaurant,Residential Building (Apartment / Condo)"
25,Wine Bar,"Japanese Restaurant,Café,Chinese Restaurant"
26,Bar,"Japanese Restaurant,Café,Chinese Restaurant"
27,Hotel,"Home (private),Asian Restaurant,Chinese Restaurant"
28,Hotel,"Office,Café,Coffee Shop"
29,Hotel,"Café,Hotel,Japanese Restaurant"
30,Hotel,"Hotel,Chinese Restaurant,Nightclub"
31,Hotel,"Boutique,Café,Japanese Restaurant"
32,Hotel,"Chinese Restaurant,Middle Eastern Restaurant,Thai Restaurant"
33,Hotel,"Chinese Restaurant,Café,Asian Restaurant"
34,Hotel,"Café,Boutique,Japanese Restaurant"
35,Hotel,"Residential Building (Apartment / Condo),Café,Office"
36,Hotel,"Café,Boutique,Japanese Restaurant"
37,Hotel,"Café,Chinese Restaurant,Office"
38,Hotel,"Café,Event Space,Japanese Restaurant"
39,Hotel,"Café,Chinese Restaurant,Coffee Shop"
40,Hotel,"Chinese Restaurant,Café,Asian Restaurant"
41,Hotel,"Café,Japanese Restaurant,Boutique"
42,Hotel,"Japanese Restaurant,Café,Coffee Shop"
43,Resort,"Beach,Resort,Aquarium"
44,Hotel,"Café,Boutique,Mall"
45,Hotel,"Café,Boutique,Japanese Restaurant"
46,Hotel,"Café,Hotel,Chinese Restaurant"
47,Hotel,"Home (private),Chinese Restaurant,Asian Restaurant"
48,Hotel,"Chinese Restaurant,Bus Station,Coffee Shop"
49,Hotel,"Café,College Classroom,Nightclub"
50,Hotel,"Café,Japanese Restaurant,Nightclub"
51,Hotel,"Chinese Restaurant,Café,Asian Restaurant"
52,Resort,"Bar,Theme Park,Beach"
53,General Entertainment,"Resort,Chinese Restaurant,Asian Restaurant"
54,Hotel,"Hotel,Restaurant,Mall"
55,Hotel,"Office,Bar,Pub"
56,Hotel,"Chinese Restaurant,Office,Café"
57,Hotel,"Hotel,Café,Chinese Restaurant"
58,Hotel,"Chinese Restaurant,Café,Nightclub"
59,Hotel,"Hotel,Chinese Restaurant,Mall"
60,Resort,"Bar,Theme Park,Beach"
61,Gaming Cafe,"Nightclub,Café,Home (private)"
62,Tea Room,"Chinese Restaurant,Café,Office"
63,American Restaurant,"Café,Chinese Restaurant,Asian Restaurant"
64,Brewery,"Nightclub,Japanese Restaurant,Bar"
65,Bar,"Office,Bar,Chinese Restaurant"
66,Rock Club,"Café,Hotel,Chinese Restaurant"
67,Coffee Shop,"Japanese Restaurant,Café,Chinese Restaurant"
68,Brewery,"Café,Chinese Restaurant,Asian Restaurant"
69,Bar,"Office,Bar,Chinese Restaurant"
70,Nightclub,"Café,Hotel,Chinese Restaurant"
71,Coffee Shop,"Café,Chinese Restaurant,Boutique"
72,Ice Cream Shop,"Café,Home (private),American Restaurant"
73,Diner,"Chinese Restaurant,Café,Coffee Shop"
74,Pub,"Nightclub,Bar,Japanese Restaurant"
75,Nightclub,"Café,Japanese Restaurant,Boutique"
76,Cocktail Bar,"Chinese Restaurant,Café,Asian Restaurant"
77,Nightclub,"Nightclub,Japanese Restaurant,Bar"
78,Bar,"Nightclub,Bar,Japanese Restaurant"
79,Cocktail Bar,"Office,Bar,Pub"
80,Nightclub,"Hotel,Café,Japanese Restaurant"
81,Rock Club,"Nightclub,Bar,Japanese Restaurant"
82,Australian Restaurant,"Chinese Restaurant,Residential Building (Apartment / Condo),Coffee Shop"
83,Indian Restaurant,"Restaurant,Café,Cocktail Bar"
84,Tea Room,"Café,Event Space,Japanese Restaurant"
85,Bar,"Nightclub,Japanese Restaurant,Bar"
86,Cocktail Bar,"Chinese Restaurant,Café,Coffee Shop"
87,Nightclub,"Bar,Nightclub,Japanese Restaurant"
88,Nightclub,"Café,Boutique,Japanese Restaurant"
89,Gay Bar,"Office,Chinese Restaurant,Café"
90,Nightclub,"Nightclub,Japanese Restaurant,Bar"
91,Nightclub,"Bar,Nightclub,Chinese Restaurant"
92,Cocktail Bar,"Office,Bar,Nightclub"
93,Bar,"Café,Restaurant,Indian Restaurant"
94,Bar,"Chinese Restaurant,Office,Korean Restaurant"
95,Bar,"Office,Bar,Chinese Restaurant"
96,Lounge,"Golf Course,Beach,Cocktail Bar"
97,Bar,"Nightclub,Home (private),Café"
98,Wine Bar,"Dessert Shop,Building,Chinese Restaurant"
99,French Restaurant,"Restaurant,Café,Bar"
100,Dessert Shop,"Café,Japanese Restaurant,Coffee Shop"
101,Bar,"Chinese Restaurant,Middle Eastern Restaurant,Coffee Shop"
102,Scenic Lookout,"Home (private),Housing Development,Coffee Shop"
103,Mall,"Office,Chinese Restaurant,Bar"
104,Monument / Landmark,"Home (private),Chinese Restaurant,Residential Building (Apartment / Condo)"
105,Monument / Landmark,"Chinese Restaurant,Bar,Nightclub"
106,Historic Site,"Office,Bar,Coffee Shop"
107,Courthouse,"Bar,Café,Japanese Restaurant"
108,Neighborhood,"Café,Food Court,Asian Restaurant"
109,Other Great Outdoors,"Home (private),Café,Bar"
110,Malaysian Restaurant,"Home (private),Food Court,Asian Restaurant"
111,Zoo,"Japanese Restaurant,Farm,Chinese Restaurant"
112,Zoo,"Zoo,Asian Restaurant,Bus Station"
113,Zoo,"Zoo,Asian Restaurant,Light Rail"
114,Park,Mountain
115,Garden,"Home (private),Park,Bus Line"
