geo_id,category,category_nearby
0,Coffee Shop,"Bar,Ramen /  Noodle House,Japanese Restaurant"
1,Hotel,"Coffee Shop,Building,Ramen /  Noodle House"
2,Hotel,"College Academic Building,Convenience Store,Bus Station"
3,Hotel,"Bar,Ramen /  Noodle House,Clothing Store"
4,Hotel,"Subway,Building,Coffee Shop"
5,Hotel,"Train Station,Ramen /  Noodle House,Coffee Shop"
6,Hotel,"Office,Japanese Restaurant,Subway"
7,Hotel,"Ramen /  Noodle House,Train Station,Japanese Restaurant"
8,Hotel,"Coffee Shop,Building,Café"
9,Hotel,"Ramen /  Noodle House,Office,Coffee Shop"
10,Hotel,"Subway,Chinese Restaurant,Ramen /  Noodle House"
11,Hotel,"Ramen /  Noodle House,Bar,Train Station"
12,Hotel,"Building,Subway,Coffee Shop"
13,Hotel,"Convenience Store,Chinese Restaurant,Government Building"
14,Hotel,"Airport,Train Station,Light Rail"
15,Hotel,"Ramen /  Noodle House,Japanese Restaurant,Convenience Store"
16,Hotel,"Train Station,Office,Convenience Store"
17,Hotel,"Japanese Restaurant,Ramen /  Noodle House,Convenience Store"
18,Hotel,"Park,Hotel,Train Station"
19,Hotel,"Plaza,Convenience Store,Train Station"
20,Hotel,"Park,Hotel,Train Station"
21,Hotel,"Subway,Temple,University"
22,Hotel,"Ramen /  Noodle House,Train Station,Japanese Restaurant"
23,Hotel,"Office,Coffee Shop,Road"
24,Hotel,"Ramen /  Noodle House,Bar,Japanese Restaurant"
25,Hotel,"Ramen /  Noodle House,Building,Bar"
26,Hotel,"Ramen /  Noodle House,Bar,Japanese Restaurant"
27,Beer Garden,"Ramen /  Noodle House,Bar,Japanese Restaurant"
28,Bar,"Temple,Japanese Restaurant,Mall"
29,Bar,"Ramen /  Noodle House,Coffee Shop,Café"
30,French Restaurant,"Ramen /  Noodle House,Bar,Clothing Store"
31,Tea Room,"Ramen /  Noodle House,Building,Bar"
32,Café,"Electronics Store,Hobby Shop,Ramen /  Noodle House"
33,Coffee Shop,"Ramen /  Noodle House,Bar,Japanese Restaurant"
34,Bar,"Ramen /  Noodle House,Bar,Japanese Restaurant"
35,Bar,"Train Station,Ramen /  Noodle House,Coffee Shop"
36,Café,"Café,Coffee Shop,Art Gallery"
37,Bar,"Train Station,Fast Food Restaurant,Coffee Shop"
38,Bar,"Japanese Restaurant,Ramen /  Noodle House,Bar"
39,Bar,"Bar,Japanese Restaurant,Ramen /  Noodle House"
40,Music Venue,"Ramen /  Noodle House,Japanese Restaurant,Bar"
41,Music Venue,"Ramen /  Noodle House,Bar,Japanese Restaurant"
42,Bar,"Ramen /  Noodle House,Coffee Shop,Japanese Restaurant"
43,Bar,"Ramen /  Noodle House,Bar,Japanese Restaurant"
44,Brewery,"Ramen /  Noodle House,Bar,Japanese Restaurant"
45,Bar,"Bar,Ramen /  Noodle House,Coffee Shop"
46,Café,"Ramen /  Noodle House,Train Station,Coffee Shop"
47,Bar,"Ramen /  Noodle House,Bar,Japanese Restaurant"
48,Music Venue,"Ramen /  Noodle House,Bar,Japanese Restaurant"
49,Bar,"Ramen /  Noodle House,Bar,Japanese Restaurant"
50,Music Venue,"Ramen /  Noodle House,Bar,Japanese Restaurant"
51,Bar,"Ramen /  Noodle House,Bar,Train Station"
52,Music Venue,"Bar,Ramen /  Noodle House,Japanese Restaurant"
53,Temple,"Convenience Store,Mall,Bar"
54,Brewery,"Office,Convenience Store,Bridge"
55,Plaza,"Train Station,Ramen /  Noodle House,Coffee Shop"
