,geo_id,lat,lng,category
0,0,-74.003139,40.733596,0
1,1,40.758102,-73.975734,1
3,2,40.652766,-74.003092,3
5,3,40.756377,-73.967653,5
9,4,40.724827,-73.981393,4
10,5,40.739685,-74.00602,9
11,6,40.756119,-73.972532,10
12,7,40.718363,-73.990817,11
13,8,40.722206,-73.98172,12
14,9,40.722842,-73.994116,13
16,10,40.719831,-73.987351,11
17,11,40.724612,-73.990485,15
18,12,40.728403,-74.005439,11
19,13,40.756161,-73.967686,16
20,14,40.73492,-73.988297,8
23,15,40.726289,-74.00208,9
26,16,40.736162,-74.003476,9
28,17,40.725755,-73.994913,18
29,18,40.738098,-74.00417,20
31,19,40.721353,-73.95775,22
34,20,40.761769,-73.965173,25
35,21,40.736827,-73.986909,26
36,22,40.783732,-73.950443,11
37,23,40.773007,-73.915886,27
39,24,40.721941,-73.996259,11
42,25,40.726072,-73.983479,11
43,26,40.729888,-74.000613,11
44,27,40.73258,-74.00256,5
45,28,40.755819,-73.969011,9
46,29,40.757394,-73.993301,3
47,30,40.722536,-73.986174,11
48,31,40.718838,-73.992383,28
49,32,40.726068,-74.001571,11
50,33,40.785953,-73.976422,16
51,34,40.730019,-74.000553,5
52,35,40.73233,-74.00164,11
53,36,40.720933,-73.987901,29
54,37,40.726974,-73.984047,11
55,38,40.733102,-74.003006,20
56,39,40.727771,-74.000337,30
57,40,40.7211,-73.987924,29
58,41,40.7272,-73.979717,11
60,42,40.74753,-73.993164,16
63,43,40.719649,-73.984607,33
64,44,40.727007,-73.982913,4
66,45,40.759153,-73.97473,35
68,46,40.763814,-73.959009,16
70,47,40.729047,-73.978457,11
71,48,40.762812,-73.967519,4
72,49,40.730641,-74.002705,36
76,50,40.721049,-73.983172,29
78,51,40.738088,-74.009507,9
87,52,40.737557,-74.008188,40
88,53,40.763315,-73.984165,8
89,54,40.78482,-73.977128,11
90,55,40.731545,-73.982828,16
91,56,40.73378,-73.999557,39
92,57,40.736627,-73.990885,41
94,58,40.723067,-73.988504,16
95,59,40.76125,-73.965713,16
96,60,40.737013,-73.991855,9
97,61,40.781856,-73.979227,43
98,62,40.72534,-73.992491,11
100,63,40.720071,-73.988231,19
101,64,40.72511,-73.981301,4
104,65,40.764135,-73.981192,23
105,66,40.736549,-73.989279,10
108,67,40.724622,-73.995861,16
112,68,40.719238,-73.985588,4
113,69,40.722283,-73.999529,46
114,70,40.731996,-74.003582,40
116,71,40.745176,-74.009442,48
117,72,40.726121,-73.992822,19
